date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:12	50/50	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2027%20Feb%202019%2012:06:11%20GMT	https://html.webinane.com/robots.txt		(from )
17:36:12	1809/1809	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Feb%202019%2012:06:12%20GMT	https://html.webinane.com/electric-admin/	html.webinane.com/electric-admin/index.html	(from )
17:36:12	121245/121245	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202017%2009:12:57%20GMT	https://html.webinane.com/electric-admin/css/bootstrap.min.css	html.webinane.com/electric-admin/css/bootstrap.min.css	(from https://html.webinane.com/electric-admin/)
17:36:13	43918/43918	---MCZ	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202017%2009:12:58%20GMT	https://html.webinane.com/electric-admin/css/icons.css	html.webinane.com/electric-admin/css/icons.css	(from https://html.webinane.com/electric-admin/)
17:36:13	451106/451106	---MCZ	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202017%2009:13:03%20GMT	https://html.webinane.com/electric-admin/css/sass.css	html.webinane.com/electric-admin/css/sass.css	(from https://html.webinane.com/electric-admin/)
17:36:13	474564/474564	---MCZ	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202017%2009:13:01%20GMT	https://html.webinane.com/electric-admin/css/main.css	html.webinane.com/electric-admin/css/main.css	(from https://html.webinane.com/electric-admin/)
17:36:13	11442/11442	---M-Z	200	added ('OK')	text/css	date:Fri,%2029%20Dec%202017%2009:12:59%20GMT	https://html.webinane.com/electric-admin/css/responsive.css	html.webinane.com/electric-admin/css/responsive.css	(from https://html.webinane.com/electric-admin/)
17:36:13	84320/84320	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:06%20GMT	https://html.webinane.com/electric-admin/js/jquery-2.1.3.js	html.webinane.com/electric-admin/js/jquery-2.1.3.js	(from https://html.webinane.com/electric-admin/)
17:36:14	36868/36868	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:03%20GMT	https://html.webinane.com/electric-admin/js/bootstrap.min.js	html.webinane.com/electric-admin/js/bootstrap.min.js	(from https://html.webinane.com/electric-admin/)
17:36:14	145522/145522	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:01%20GMT	https://html.webinane.com/electric-admin/js/angular.min.js	html.webinane.com/electric-admin/js/angular.min.js	(from https://html.webinane.com/electric-admin/)
17:36:14	4390/4390	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:00%20GMT	https://html.webinane.com/electric-admin/js/angular-route.min.js	html.webinane.com/electric-admin/js/angular-route.min.js	(from https://html.webinane.com/electric-admin/)
17:36:14	481333/481333	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:04%20GMT	https://html.webinane.com/electric-admin/js/app.js	html.webinane.com/electric-admin/js/app.js	(from https://html.webinane.com/electric-admin/)
17:36:14	14525/14525	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:06%20GMT	https://html.webinane.com/electric-admin/js/main.js	html.webinane.com/electric-admin/js/main.js	(from https://html.webinane.com/electric-admin/)
17:36:15	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2029%20Dec%202017%2009:14:04%20GMT	https://html.webinane.com/electric-admin/js/common.js	html.webinane.com/electric-admin/js/common.js	(from https://html.webinane.com/electric-admin/)
17:36:15	504/504	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:15%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.eot	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.eot	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:15	504/504	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:15%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.eot?	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regulard41d.eot	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:15	506/506	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:15%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.woff2	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.woff2	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:15	505/505	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:15%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.woff	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.woff	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:16	504/504	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:16%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.ttf	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.ttf	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:16	504/504	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Feb%202019%2012:06:16%20GMT	https://html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.svg	html.webinane.com/electric-admin/fonts/glyphicons-halflings-regular.svg	(from https://html.webinane.com/electric-admin/css/bootstrap.min.css)
17:36:16	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Dec%202017%2009:13:14%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.eot?v=4.5.0	html.webinane.com/electric-admin/fonts/fontawesome-webfont3295.eot	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:17	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Dec%202017%2009:13:14%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.eot?	html.webinane.com/electric-admin/fonts/fontawesome-webfontd41d.eot	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:17	66624/66624	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2029%20Dec%202017%2009:13:19%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.woff2?v=4.5.0	html.webinane.com/electric-admin/fonts/fontawesome-webfont3295.woff2	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:17	83588/83588	---M--	200	added ('OK')	application/font-woff	date:Fri,%2029%20Dec%202017%2009:13:18%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.woff?v=4.5.0	html.webinane.com/electric-admin/fonts/fontawesome-webfont3295.woff	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:17	142072/142072	---MCZ	200	added ('OK')	application/x-font-ttf	date:Fri,%2029%20Dec%202017%2009:13:17%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.ttf?v=4.5.0	html.webinane.com/electric-admin/fonts/fontawesome-webfont3295.ttf	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:18	365616/365616	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2029%20Dec%202017%2009:13:16%20GMT	https://html.webinane.com/electric-admin/fonts/fontawesome-webfont.svg?v=4.5.0	html.webinane.com/electric-admin/fonts/fontawesome-webfont3295.svg	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:18	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Dec%202017%2009:13:21%20GMT	https://html.webinane.com/electric-admin/fonts/themify.eot?-fvbane	html.webinane.com/electric-admin/fonts/themify9f24.eot	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:18	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2029%20Dec%202017%2009:13:21%20GMT	https://html.webinane.com/electric-admin/fonts/themify.eot?	html.webinane.com/electric-admin/fonts/themifyd41d.eot	(from https://html.webinane.com/electric-admin/css/icons.css)
17:36:18	56108/56108	---M--	200	added ('OK')	application/font-woff	date:Fri,%2029%20Dec%202017%2009:13:25%20GMT	https://html.webinane.com/electric-admin/fonts/themify.woff?-fvbane	html.webinane.com/electric-admin/fonts/themify9f24.woff	(from https://html.webinane.com/electric-admin/css/icons.css)
